Date,Date,MeanTemp
1943-09-28,1943-09-28,24.44444444
1943-09-29,1943-09-29,26.11111111
1943-09-30,1943-09-30,27.77777778
1943-10-01,1943-10-01,28.88888889
1943-10-02,1943-10-02,28.88888889
1943-10-03,1943-10-03,28.88888889
1943-10-04,1943-10-04,27.77777778
1943-10-05,1943-10-05,26.66666667
1943-10-06,1943-10-06,23.33333333
1943-10-07,1943-10-07,26.66666667
1943-10-08,1943-10-08,29.44444444
1943-10-09,1943-10-09,28.33333333
1943-10-10,1943-10-10,27.77777778
1943-10-11,1943-10-11,26.11111111
1943-10-12,1943-10-12,26.11111111
1943-10-13,1943-10-13,26.66666667
1943-10-14,1943-10-14,25.55555556
1943-10-15,1943-10-15,25.55555556
1943-10-16,1943-10-16,25.0
1943-10-17,1943-10-17,24.44444444
1943-10-18,1943-10-18,25.55555556
1943-10-19,1943-10-19,27.77777778
1943-10-20,1943-10-20,25.55555556
1943-10-21,1943-10-21,26.66666667
1943-10-22,1943-10-22,25.55555556
1943-10-23,1943-10-23,26.11111111
1943-10-24,1943-10-24,24.44444444
1943-10-25,1943-10-25,25.55555556
1943-10-26,1943-10-26,23.88888889
1943-10-27,1943-10-27,23.33333333
1943-10-28,1943-10-28,23.33333333
1943-10-29,1943-10-29,23.33333333
1943-10-30,1943-10-30,23.33333333
1943-10-31,1943-10-31,23.33333333
1943-11-01,1943-11-01,22.77777778
1943-11-02,1943-11-02,24.44444444
1943-11-03,1943-11-03,24.44444444
1943-11-04,1943-11-04,24.44444444
1943-11-05,1943-11-05,25.0
1943-11-06,1943-11-06,24.44444444
1943-11-07,1943-11-07,23.88888889
1943-11-08,1943-11-08,23.88888889
1943-11-09,1943-11-09,24.44444444
1943-11-10,1943-11-10,23.33333333
1943-11-11,1943-11-11,23.33333333
1943-11-12,1943-11-12,22.22222222
1943-11-13,1943-11-13,22.22222222
1943-11-14,1943-11-14,22.22222222
1943-11-15,1943-11-15,22.22222222
1943-11-16,1943-11-16,21.66666667
1943-11-17,1943-11-17,22.22222222
1943-11-18,1943-11-18,22.77777778
1943-11-19,1943-11-19,22.22222222
1943-11-20,1943-11-20,23.88888889
1943-11-21,1943-11-21,21.11111111
1943-11-22,1943-11-22,23.33333333
1943-11-23,1943-11-23,22.77777778
1943-11-24,1943-11-24,21.66666667
1943-11-25,1943-11-25,22.22222222
1943-11-26,1943-11-26,20.55555556
1943-11-27,1943-11-27,20.0
1943-11-28,1943-11-28,22.22222222
1943-11-29,1943-11-29,21.11111111
1943-11-30,1943-11-30,20.55555556
1943-12-01,1943-12-01,20.0
1943-12-02,1943-12-02,20.55555556
1943-12-03,1943-12-03,20.0
1943-12-04,1943-12-04,18.88888889
1943-12-05,1943-12-05,18.88888889
1943-12-06,1943-12-06,17.77777778
1943-12-07,1943-12-07,16.66666667
1943-12-08,1943-12-08,16.66666667
1943-12-09,1943-12-09,16.66666667
1943-12-10,1943-12-10,16.66666667
1943-12-11,1943-12-11,16.66666667
