Date,DayNumber,MeanTemp
12/14/1943,348,18.88888889
12/15/1943,349,17.77777778
12/16/1943,350,17.77777778
12/17/1943,351,17.77777778
12/18/1943,352,18.33333333
12/19/1943,353,17.22222222
12/20/1943,354,17.77777778
12/21/1943,355,17.77777778
12/22/1943,356,17.77777778
12/23/1943,357,17.77777778
12/24/1943,358,18.88888889
12/25/1943,359,18.88888889
12/26/1943,360,18.88888889
12/27/1943,361,17.77777778
12/28/1943,362,19.44444444
12/29/1943,363,17.22222222
12/30/1943,364,16.66666667
12/31/1943,365,17.77777778
1/1/1944,1,16.66666667
1/2/1944,2,16.11111111
1/3/1944,3,16.11111111
1/4/1944,4,15.55555556
1/5/1944,5,15.55555556
1/6/1944,6,12.22222222
1/7/1944,7,16.66666667
1/8/1944,8,16.66666667
1/9/1944,9,16.66666667
1/10/1944,10,16.66666667
1/11/1944,11,16.66666667
1/12/1944,12,17.77777778
1/13/1944,13,16.66666667
1/14/1944,14,17.22222222
1/15/1944,15,16.66666667
1/16/1944,16,15.55555556
1/17/1944,17,16.66666667
1/18/1944,18,16.11111111
1/19/1944,19,16.11111111
1/20/1944,20,16.66666667
1/21/1944,21,15.55555556
1/22/1944,22,15.55555556
1/23/1944,23,16.66666667
1/24/1944,24,17.77777778
1/25/1944,25,15.55555556
1/26/1944,26,17.77777778
1/27/1944,27,15.55555556
1/28/1944,28,18.88888889
1/29/1944,29,17.22222222
1/30/1944,30,16.11111111
1/31/1944,31,16.66666667
2/1/1944,32,16.66666667
2/2/1944,33,16.11111111
2/3/1944,34,16.66666667
2/4/1944,35,15.55555556
2/5/1944,36,14.44444444
2/6/1944,37,16.66666667
2/7/1944,38,16.66666667
2/8/1944,39,16.66666667
2/9/1944,40,17.22222222
2/10/1944,41,17.77777778
2/11/1944,42,17.77777778
2/12/1944,43,17.77777778
2/13/1944,44,16.66666667
2/14/1944,45,18.33333333
2/15/1944,46,19.44444444
2/16/1944,47,18.88888889
2/17/1944,48,18.33333333
2/18/1944,49,20
2/19/1944,50,18.88888889
2/20/1944,51,18.88888889
2/21/1944,52,17.77777778
2/22/1944,53,20
2/23/1944,54,20
2/24/1944,55,18.88888889
2/25/1944,56,20
2/26/1944,57,22.22222222
2/27/1944,58,20
2/28/1944,59,21.11111111
2/29/1944,60,22.22222222
3/1/1944,61,22.77777778
3/2/1944,62,23.33333333
3/3/1944,63,23.33333333
3/4/1944,64,22.22222222
3/5/1944,65,22.22222222
3/6/1944,66,22.77777778
3/7/1944,67,23.33333333
3/8/1944,68,23.33333333
3/9/1944,69,23.88888889
3/10/1944,70,23.33333333
3/11/1944,71,23.33333333
3/12/1944,72,23.33333333
3/13/1944,73,23.33333333
3/14/1944,74,24.44444444
3/15/1944,75,24.44444444
3/16/1944,76,23.33333333
3/17/1944,77,24.44444444
3/18/1944,78,22.22222222
3/19/1944,79,23.33333333
3/20/1944,80,24.44444444
3/21/1944,81,24.44444444
3/22/1944,82,26.11111111
3/23/1944,83,24.44444444
3/24/1944,84,22.22222222
3/25/1944,85,21.11111111
3/26/1944,86,22.77777778
3/27/1944,87,23.33333333
3/28/1944,88,22.22222222
3/29/1944,89,25
3/30/1944,90,21.11111111
3/31/1944,91,21.11111111
4/1/1944,92,22.22222222
4/2/1944,93,20.55555556
4/3/1944,94,22.22222222
4/4/1944,95,22.77777778
4/5/1944,96,23.33333333
4/6/1944,97,25.55555556
4/7/1944,98,23.33333333
4/8/1944,99,23.33333333
4/9/1944,100,23.33333333
4/10/1944,101,22.77777778
4/11/1944,102,22.77777778
4/12/1944,103,24.44444444
4/13/1944,104,22.22222222
4/14/1944,105,23.33333333
4/15/1944,106,23.33333333
4/16/1944,107,21.11111111
4/17/1944,108,23.33333333
4/18/1944,109,26.66666667
4/19/1944,110,24.44444444
4/20/1944,111,24.44444444
4/21/1944,112,25.55555556
4/22/1944,113,26.66666667
4/23/1944,114,25.55555556
4/24/1944,115,28.33333333
4/25/1944,116,28.88888889
4/26/1944,117,27.77777778
4/27/1944,118,28.33333333
4/28/1944,119,26.66666667
4/29/1944,120,24.44444444
4/30/1944,121,23.33333333
5/1/1944,122,25
5/2/1944,123,24.44444444
5/3/1944,124,25
5/4/1944,125,25.55555556
5/5/1944,126,26.66666667
5/6/1944,127,24.44444444
5/7/1944,128,23.88888889
5/8/1944,129,23.88888889
5/9/1944,130,27.22222222
5/10/1944,131,29.44444444
5/11/1944,132,26.11111111
5/12/1944,133,26.11111111
5/13/1944,134,23.88888889
5/14/1944,135,24.44444444
5/15/1944,136,23.88888889
5/16/1944,137,26.11111111
5/17/1944,138,27.77777778
5/18/1944,139,28.88888889
5/19/1944,140,26.66666667
5/20/1944,141,26.11111111
5/21/1944,142,27.77777778
5/22/1944,143,28.88888889
5/23/1944,144,27.22222222
5/24/1944,145,26.11111111
5/25/1944,146,24.44444444
5/26/1944,147,23.88888889
5/27/1944,148,25
5/28/1944,149,27.22222222
5/29/1944,150,28.33333333
5/30/1944,151,27.77777778
5/31/1944,152,28.88888889
6/1/1944,153,28.88888889
6/2/1944,154,28.33333333
6/3/1944,155,28.88888889
6/4/1944,156,27.22222222
6/5/1944,157,27.77777778
6/6/1944,158,28.88888889
6/7/1944,159,28.33333333
6/8/1944,160,27.77777778
6/9/1944,161,27.77777778
6/10/1944,162,28.33333333
6/11/1944,163,28.88888889
6/12/1944,164,28.33333333
6/13/1944,165,27.77777778
6/14/1944,166,30
6/15/1944,167,28.33333333
6/16/1944,168,27.77777778
6/17/1944,169,26.11111111
6/18/1944,170,25
6/19/1944,171,26.66666667
6/20/1944,172,28.88888889
6/21/1944,173,28.88888889
6/22/1944,174,28.33333333
6/23/1944,175,28.88888889
6/24/1944,176,28.88888889
6/25/1944,177,28.88888889
6/26/1944,178,28.88888889
6/27/1944,179,27.77777778
6/28/1944,180,26.66666667
6/29/1944,181,27.77777778
6/30/1944,182,27.77777778
7/1/1944,183,27.77777778
7/2/1944,184,27.77777778
7/3/1944,185,27.77777778
7/4/1944,186,28.88888889
7/5/1944,187,27.22222222
7/6/1944,188,28.88888889
7/7/1944,189,28.88888889
7/8/1944,190,28.88888889
7/9/1944,191,28.33333333
7/10/1944,192,28.88888889
7/11/1944,193,30.55555556
7/12/1944,194,30.55555556
7/13/1944,195,30
7/14/1944,196,28.33333333
7/15/1944,197,31.11111111
7/16/1944,198,29.44444444
7/17/1944,199,28.88888889
7/18/1944,200,28.88888889
7/19/1944,201,27.77777778
7/20/1944,202,27.77777778
7/21/1944,203,28.33333333
7/22/1944,204,27.77777778
7/23/1944,205,30
7/24/1944,206,31.11111111
7/25/1944,207,31.11111111
7/26/1944,208,30
7/27/1944,209,28.88888889
7/28/1944,210,28.33333333
7/29/1944,211,30.55555556
7/30/1944,212,30.55555556
7/31/1944,213,29.44444444
8/1/1944,214,28.88888889
8/2/1944,215,28.88888889
8/3/1944,216,28.88888889
8/4/1944,217,30.55555556
8/5/1944,218,30
8/6/1944,219,30
8/7/1944,220,30.55555556
8/8/1944,221,30
8/9/1944,222,27.77777778
8/10/1944,223,27.77777778
8/11/1944,224,27.77777778
8/12/1944,225,27.22222222
8/13/1944,226,28.88888889
8/14/1944,227,29.44444444
8/15/1944,228,30
8/16/1944,229,29.44444444
8/17/1944,230,30.55555556
8/18/1944,231,31.11111111
8/19/1944,232,30.55555556
8/20/1944,233,30.55555556
8/21/1944,234,26.66666667
8/22/1944,235,27.22222222
8/23/1944,236,30
8/24/1944,237,31.11111111
8/25/1944,238,28.88888889
8/26/1944,239,26.66666667
8/27/1944,240,28.88888889
8/28/1944,241,27.77777778
8/29/1944,242,26.11111111
8/30/1944,243,27.77777778
8/31/1944,244,27.77777778
9/1/1944,245,25.55555556
9/2/1944,246,27.22222222
9/3/1944,247,26.66666667
9/4/1944,248,27.22222222
9/5/1944,249,27.77777778
9/6/1944,250,27.77777778
9/7/1944,251,27.77777778
9/8/1944,252,26.66666667
9/9/1944,253,26.66666667
9/10/1944,254,27.77777778
9/11/1944,255,27.77777778
9/12/1944,256,27.77777778
9/13/1944,257,26.66666667
9/14/1944,258,27.77777778
9/15/1944,259,27.77777778
9/16/1944,260,27.77777778
9/17/1944,261,26.66666667
9/18/1944,262,26.66666667
9/19/1944,263,26.66666667
9/20/1944,264,27.77777778
9/21/1944,265,26.66666667
9/22/1944,266,25.55555556
9/23/1944,267,26.66666667
9/24/1944,268,27.77777778
9/25/1944,269,27.77777778
9/26/1944,270,26.66666667
9/27/1944,271,25.55555556
9/28/1944,272,27.22222222
9/29/1944,273,27.77777778
9/30/1944,274,27.77777778
10/1/1944,275,28.88888889
10/2/1944,276,29.44444444
10/3/1944,277,30
10/4/1944,278,26.11111111
10/5/1944,279,26.66666667
10/6/1944,280,27.77777778
10/7/1944,281,26.66666667
10/8/1944,282,27.77777778
10/9/1944,283,27.77777778
10/10/1944,284,26.66666667
10/11/1944,285,26.66666667
10/12/1944,286,26.66666667
10/13/1944,287,25.55555556
10/14/1944,288,25.55555556
10/15/1944,289,24.44444444
10/16/1944,290,24.44444444
10/17/1944,291,25.55555556
10/18/1944,292,24.44444444
10/19/1944,293,25
10/20/1944,294,25
10/21/1944,295,25.55555556
10/22/1944,296,25.55555556
10/23/1944,297,25.55555556
10/24/1944,298,25.55555556
10/25/1944,299,24.44444444
10/26/1944,300,24.44444444
10/27/1944,301,24.44444444
